Date,Category,Region,Product,Sales,Quantity,Discount,Profit,Customer_Satisfaction,Return_Rate
2020-01-05 15:00:00,D,North,Product_4,245.1,19,0.15,220.36,4,0.014
2020-01-05 16:00:00,A,South,Product_4,936.73,5,0.25,385.12,2,0.037
2020-01-05 17:00:00,C,East,Product_1,827.31,3,0.27,20.94,4,0.033
2020-01-05 18:00:00,B,East,Product_4,670.06,28,0.16,-102.45,5,0.055
2020-01-05 19:00:00,A,North,Product_1,884.31,26,0.27,316.81,2,0.081
2020-01-05 20:00:00,C,South,Product_4,823.3,23,0.05,430.3,2,0.025
2020-01-05 21:00:00,B,South,Product_3,267.91,30,0.12,259.83,3,0.195
2020-01-05 22:00:00,B,South,Product_4,903.3,8,0.37,392.23,4,0.0
2020-01-05 23:00:00,C,West,Product_1,585.41,36,0.09,499.07,3,0.154
2020-01-06 00:00:00,B,South,Product_2,826.7,29,0.07,149.57,4,0.105
2020-01-06 01:00:00,A,West,Product_2,906.48,13,0.14,454.7,2,0.017
2020-01-06 02:00:00,C,South,Product_2,386.2,25,0.19,41.05,4,0.024
2020-01-06 03:00:00,D,North,Product_1,199.05,22,0.16,321.95,3,0.118
2020-01-06 04:00:00,A,South,Product_4,305.14,46,0.19,431.03,2,0.063
2020-01-06 05:00:00,A,North,Product_3,484.4,33,0.07,164.61,4,0.09
2020-01-06 06:00:00,C,West,Product_4,836.21,37,0.08,238.53,3,0.11
2020-01-06 07:00:00,C,South,Product_4,874.66,7,0.12,479.35,4,0.115
2020-01-06 08:00:00,B,East,Product_2,106.26,23,0.2,-24.17,3,0.117
2020-01-06 09:00:00,A,North,Product_3,559.67,6,0.17,49.18,5,0.014
2020-01-06 10:00:00,B,East,Product_2,475.67,15,0.4,340.59,3,0.148
2020-01-06 11:00:00,A,West,Product_4,299.9,15,0.26,38.68,1,0.059
2020-01-06 12:00:00,A,North,Product_3,207.88,40,0.29,150.54,4,0.023
2020-01-06 13:00:00,D,South,Product_4,403.85,34,0.28,-164.68,1,0.02
2020-01-06 14:00:00,A,West,Product_4,948.62,14,0.2,195.84,5,0.047
2020-01-06 15:00:00,B,West,Product_4,390.88,29,0.49,238.75,3,0.126
2020-01-06 16:00:00,B,West,Product_2,566.91,16,0.02,-142.18,2,0.094
2020-01-06 17:00:00,D,West,Product_4,732.72,29,0.11,-29.27,2,0.021
2020-01-06 18:00:00,B,East,Product_3,427.27,23,0.14,103.23,3,0.006
2020-01-06 19:00:00,C,South,Product_2,974.6,10,0.44,346.87,5,0.005
2020-01-06 20:00:00,D,West,Product_2,966.2,47,0.46,-184.84,3,0.084
2020-01-06 21:00:00,B,South,Product_1,326.6,4,0.42,31.94,2,0.158
2020-01-06 22:00:00,B,East,Product_1,547.52,12,0.21,-196.58,2,0.115
2020-01-06 23:00:00,C,East,Product_4,370.79,42,0.46,164.9,2,0.162
2020-01-07 00:00:00,D,South,Product_1,356.36,34,0.05,149.14,3,0.064
2020-01-07 01:00:00,C,West,Product_3,133.2,4,0.33,328.76,5,0.028
2020-01-07 02:00:00,D,East,Product_3,648.61,20,0.47,-197.26,5,0.161
2020-01-07 03:00:00,D,East,Product_4,552.41,28,0.38,331.1,5,0.146
2020-01-07 04:00:00,A,North,Product_3,146.33,28,0.14,423.86,2,0.118
2020-01-07 05:00:00,B,West,Product_3,350.78,6,0.36,22.19,4,0.178
2020-01-07 06:00:00,B,North,Product_1,917.44,14,0.15,33.58,3,0.126
2020-01-07 07:00:00,A,West,Product_1,315.61,35,0.06,-199.25,2,0.105
2020-01-07 08:00:00,C,East,Product_2,230.41,47,0.36,100.38,5,0.1
2020-01-07 09:00:00,A,North,Product_2,540.51,1,0.09,229.11,3,0.123
2020-01-07 10:00:00,B,West,Product_4,987.09,19,0.06,-114.11,5,0.103
2020-01-07 11:00:00,B,West,Product_4,317.85,1,0.28,260.02,1,0.055
2020-01-07 12:00:00,A,East,Product_2,704.92,13,0.31,56.02,2,0.191
2020-01-07 13:00:00,A,West,Product_1,785.46,8,0.03,271.1,5,0.192
2020-01-07 14:00:00,A,North,Product_1,313.87,18,0.0,-24.23,1,0.033
2020-01-07 15:00:00,B,South,Product_3,755.39,35,0.44,342.25,5,0.106
2020-01-07 16:00:00,A,North,Product_4,431.0,23,0.06,184.2,2,0.158
2020-01-07 17:00:00,A,North,Product_4,669.08,26,0.29,173.24,4,0.011
2020-01-07 18:00:00,C,North,Product_1,670.18,41,0.48,141.71,5,0.025
2020-01-07 19:00:00,A,South,Product_3,582.2,38,0.26,389.38,5,0.109
2020-01-07 20:00:00,B,North,Product_1,181.26,20,0.07,187.98,1,0.006
2020-01-07 21:00:00,C,South,Product_2,851.77,2,0.2,-88.28,2,0.167
2020-01-07 22:00:00,D,South,Product_2,388.7,26,0.31,238.06,5,0.175
2020-01-07 23:00:00,B,North,Product_3,267.87,36,0.38,159.86,3,0.147
2020-01-08 00:00:00,B,East,Product_4,136.7,25,0.3,-151.75,2,0.164
2020-01-08 01:00:00,D,East,Product_3,631.8,30,0.02,206.76,1,0.134
2020-01-08 02:00:00,B,South,Product_1,709.81,18,0.07,-144.43,1,0.028
2020-01-08 03:00:00,D,North,Product_2,114.93,7,0.19,307.38,1,0.006
2020-01-08 04:00:00,D,East,Product_4,560.88,27,0.35,258.35,2,0.17
2020-01-08 05:00:00,B,East,Product_1,303.85,11,0.29,145.28,2,0.141
2020-01-08 06:00:00,A,North,Product_4,680.66,37,0.02,324.15,5,0.08
2020-01-08 07:00:00,A,South,Product_3,256.93,8,0.4,-3.48,1,0.159
2020-01-08 08:00:00,D,South,Product_1,721.84,11,0.3,112.5,1,0.011
2020-01-08 09:00:00,C,South,Product_3,448.06,24,0.44,-189.3,2,0.064
2020-01-08 10:00:00,D,East,Product_2,943.06,30,0.21,491.81,2,0.068
2020-01-08 11:00:00,D,South,Product_2,223.77,30,0.25,-160.62,3,0.021
2020-01-08 12:00:00,D,South,Product_1,406.96,15,0.2,-126.88,1,0.148
2020-01-08 13:00:00,A,South,Product_3,202.13,35,0.36,146.42,2,0.156
2020-01-08 14:00:00,A,South,Product_4,932.22,39,0.38,63.13,2,0.117
2020-01-08 15:00:00,A,North,Product_2,889.61,24,0.36,172.64,5,0.084
2020-01-08 16:00:00,D,South,Product_4,332.15,8,0.15,384.51,1,0.121
2020-01-08 17:00:00,C,South,Product_1,693.99,43,0.32,-88.97,3,0.18
2020-01-08 18:00:00,A,East,Product_2,835.5,42,0.17,247.67,2,0.072
2020-01-08 19:00:00,B,North,Product_1,599.68,20,0.42,-187.38,5,0.067
2020-01-08 20:00:00,B,North,Product_1,576.69,41,0.03,353.03,5,0.125
2020-01-08 21:00:00,B,South,Product_3,317.67,47,0.02,370.94,4,0.137
2020-01-08 22:00:00,D,East,Product_1,183.79,26,0.05,65.56,1,0.092
2020-01-08 23:00:00,B,East,Product_1,907.49,24,0.1,-78.67,5,0.172
2020-01-09 00:00:00,D,East,Product_2,910.38,22,0.02,367.74,3,0.07
2020-01-09 01:00:00,B,North,Product_4,669.79,5,0.04,436.45,1,0.128
2020-01-09 02:00:00,C,North,Product_1,405.13,15,0.15,-147.29,3,0.134
2020-01-09 03:00:00,D,South,Product_1,414.29,36,0.05,205.86,5,0.059
2020-01-09 04:00:00,B,East,Product_3,753.36,37,0.4,456.71,1,0.004
2020-01-09 05:00:00,A,East,Product_4,907.4,29,0.03,250.62,5,0.165
2020-01-09 06:00:00,D,East,Product_1,898.38,15,0.45,374.22,5,0.096
2020-01-09 07:00:00,A,North,Product_3,801.89,27,0.44,-39.12,5,0.019
2020-01-09 08:00:00,A,South,Product_4,677.83,49,0.1,-128.37,2,0.192
2020-01-09 09:00:00,A,West,Product_3,175.73,8,0.04,63.33,2,0.059
2020-01-09 10:00:00,A,East,Product_3,245.47,29,0.05,76.58,3,0.095
2020-01-09 11:00:00,B,South,Product_3,908.7,19,0.28,350.34,2,0.097
2020-01-09 12:00:00,B,South,Product_1,645.79,31,0.3,84.41,3,0.074
2020-01-09 13:00:00,D,South,Product_3,108.28,9,0.16,-34.38,2,0.03
2020-01-09 14:00:00,D,South,Product_1,191.32,10,0.15,420.44,5,0.141
2020-01-09 15:00:00,D,South,Product_3,697.15,37,0.27,347.86,2,0.039
2020-01-09 16:00:00,B,East,Product_1,104.56,10,0.15,267.11,4,0.136
2020-01-09 17:00:00,D,South,Product_2,244.73,33,0.47,-55.02,5,0.16
2020-01-09 18:00:00,A,West,Product_3,593.86,25,0.19,-56.63,4,0.005
2020-01-09 19:00:00,B,South,Product_2,722.71,4,0.11,143.95,5,0.146
2020-01-09 20:00:00,D,West,Product_4,686.77,5,0.07,171.64,2,0.128
2020-01-09 21:00:00,A,South,Product_1,301.84,23,0.32,-20.73,1,0.039
2020-01-09 22:00:00,D,North,Product_1,740.96,39,0.16,-113.64,3,0.124
2020-01-09 23:00:00,C,North,Product_2,313.52,5,0.09,54.24,5,0.084
2020-01-10 00:00:00,D,East,Product_4,392.86,8,0.14,100.36,1,0.017
2020-01-10 01:00:00,C,South,Product_1,771.84,17,0.15,-163.22,1,0.105
2020-01-10 02:00:00,D,North,Product_1,684.67,1,0.31,195.25,2,0.195
2020-01-10 03:00:00,D,South,Product_4,864.3,12,0.09,-198.59,5,0.13
2020-01-10 04:00:00,B,East,Product_1,691.85,35,0.37,-94.18,1,0.066
2020-01-10 05:00:00,B,East,Product_4,611.48,14,0.15,-97.13,3,0.113
2020-01-10 06:00:00,C,North,Product_1,184.31,48,0.24,281.29,4,0.148
2020-01-10 07:00:00,B,South,Product_3,430.94,18,0.33,140.12,2,0.031
2020-01-10 08:00:00,A,North,Product_3,338.68,10,0.27,385.23,2,0.106
2020-01-10 09:00:00,A,West,Product_1,319.59,15,0.33,-14.61,2,0.101
2020-01-10 10:00:00,C,East,Product_4,975.71,42,0.16,-52.6,3,0.075
2020-01-10 11:00:00,A,West,Product_4,453.79,33,0.48,362.03,2,0.149
2020-01-10 12:00:00,A,East,Product_4,902.84,19,0.23,110.94,3,0.113
2020-01-10 13:00:00,D,South,Product_1,668.02,34,0.16,-8.04,1,0.14
2020-01-10 14:00:00,B,North,Product_1,815.33,45,0.15,92.78,5,0.119
2020-01-10 15:00:00,A,North,Product_4,552.37,25,0.02,97.69,1,0.156
2020-01-10 16:00:00,A,South,Product_4,619.21,16,0.34,200.48,5,0.127
2020-01-10 17:00:00,B,South,Product_2,543.27,8,0.13,-173.63,2,0.136
2020-01-10 18:00:00,A,West,Product_3,275.72,35,0.48,-26.44,1,0.045
2020-01-10 19:00:00,A,West,Product_2,750.21,21,0.11,126.83,3,0.169
2020-01-10 20:00:00,B,South,Product_1,352.7,19,0.26,179.61,2,0.031
2020-01-10 21:00:00,D,North,Product_4,121.88,46,0.37,-88.87,1,0.068
2020-01-10 22:00:00,A,West,Product_4,680.93,11,0.44,-64.46,1,0.178
2020-01-10 23:00:00,B,West,Product_1,259.4,44,0.08,309.32,3,0.022
2020-01-11 00:00:00,A,East,Product_1,946.41,11,0.49,349.89,3,0.173
2020-01-11 01:00:00,A,East,Product_3,958.54,11,0.45,-147.4,1,0.095
2020-01-11 02:00:00,D,East,Product_3,923.38,22,0.48,493.06,3,0.037
2020-01-11 03:00:00,C,South,Product_2,433.14,21,0.43,103.19,4,0.147
2020-01-11 04:00:00,C,North,Product_3,113.91,27,0.44,210.03,4,0.057
2020-01-11 05:00:00,B,North,Product_1,935.49,18,0.3,215.56,3,0.136
2020-01-11 06:00:00,C,West,Product_3,485.37,42,0.42,42.22,1,0.158
2020-01-11 07:00:00,B,South,Product_4,969.99,48,0.27,181.35,3,0.114
2020-01-11 08:00:00,C,East,Product_4,967.26,40,0.27,208.38,3,0.157
2020-01-11 09:00:00,D,North,Product_3,867.71,38,0.28,332.53,5,0.187
2020-01-11 10:00:00,B,South,Product_4,365.0,30,0.5,263.25,4,0.11
2020-01-11 11:00:00,C,West,Product_2,446.59,45,0.05,112.67,2,0.03
2020-01-11 12:00:00,D,East,Product_3,866.02,47,0.4,-66.07,2,0.142
2020-01-11 13:00:00,C,North,Product_1,385.23,45,0.14,-182.39,2,0.082
2020-01-11 14:00:00,A,South,Product_1,252.54,33,0.18,256.3,3,0.106
2020-01-11 15:00:00,A,South,Product_2,601.12,21,0.04,134.39,2,0.125
2020-01-11 16:00:00,D,West,Product_1,942.54,2,0.18,475.87,5,0.143
2020-01-11 17:00:00,A,West,Product_2,726.43,13,0.5,-131.18,3,0.128
2020-01-11 18:00:00,A,North,Product_1,613.06,2,0.2,-149.16,1,0.047
2020-01-11 19:00:00,B,South,Product_3,187.46,43,0.33,-73.11,1,0.15
2020-01-11 20:00:00,C,North,Product_1,653.51,45,0.06,63.78,3,0.161
2020-01-11 21:00:00,B,West,Product_4,991.05,31,0.46,-77.38,4,0.008
2020-01-11 22:00:00,C,East,Product_1,226.08,10,0.41,124.69,4,0.062
2020-01-11 23:00:00,A,South,Product_4,566.5,23,0.19,37.8,1,0.196
2020-01-12 00:00:00,B,West,Product_3,889.64,22,0.17,499.65,2,0.036
2020-01-12 01:00:00,C,South,Product_4,766.69,47,0.22,476.69,5,0.037
2020-01-12 02:00:00,C,West,Product_2,727.31,29,0.2,55.37,3,0.118
2020-01-12 03:00:00,B,East,Product_2,732.24,33,0.13,354.47,5,0.068
2020-01-12 04:00:00,D,West,Product_3,423.54,31,0.5,-30.85,5,0.131
2020-01-12 05:00:00,C,East,Product_3,364.23,14,0.41,-159.58,5,0.053
2020-01-12 06:00:00,A,South,Product_4,828.43,10,0.13,-171.66,3,0.085
2020-01-12 07:00:00,C,West,Product_4,829.1,18,0.49,-179.58,2,0.2
2020-01-12 08:00:00,A,East,Product_3,880.37,11,0.01,315.15,3,0.075
2020-01-12 09:00:00,B,West,Product_1,921.92,39,0.22,39.56,1,0.017
2020-01-12 10:00:00,C,North,Product_3,560.21,47,0.28,376.68,2,0.148
2020-01-12 11:00:00,A,South,Product_3,551.36,3,0.02,411.68,1,0.118
2020-01-12 12:00:00,A,North,Product_2,818.47,2,0.08,13.85,5,0.089
2020-01-12 13:00:00,B,West,Product_2,684.97,8,0.13,2.4,2,0.182
2020-01-12 14:00:00,C,North,Product_3,731.77,31,0.36,15.55,5,0.029
2020-01-12 15:00:00,C,West,Product_1,816.21,8,0.47,132.81,1,0.098
2020-01-12 16:00:00,B,South,Product_1,901.0,43,0.31,-188.84,3,0.038
2020-01-12 17:00:00,C,North,Product_1,404.2,48,0.28,-192.41,2,0.017
2020-01-12 18:00:00,B,North,Product_1,438.02,2,0.27,314.83,5,0.088
2020-01-12 19:00:00,C,South,Product_2,184.58,22,0.18,365.75,4,0.189
2020-01-12 20:00:00,D,East,Product_4,620.45,5,0.41,-57.11,5,0.144
2020-01-12 21:00:00,C,East,Product_2,132.35,7,0.27,215.71,1,0.047
2020-01-12 22:00:00,A,South,Product_2,519.04,20,0.12,-48.79,1,0.093
2020-01-12 23:00:00,A,East,Product_3,588.38,28,0.07,313.95,3,0.159
2020-01-13 00:00:00,D,North,Product_2,357.89,13,0.49,94.36,2,0.039
2020-01-13 01:00:00,C,South,Product_2,631.75,2,0.01,375.93,4,0.041
2020-01-13 02:00:00,A,South,Product_4,127.45,32,0.47,463.98,1,0.036
2020-01-13 03:00:00,A,North,Product_4,133.61,26,0.11,188.82,2,0.121
2020-01-13 04:00:00,C,North,Product_4,840.34,3,0.33,430.47,4,0.006
2020-01-13 05:00:00,B,East,Product_1,424.17,41,0.15,-176.35,3,0.118
2020-01-13 06:00:00,C,South,Product_3,214.35,42,0.43,123.88,2,0.165
2020-01-13 07:00:00,B,East,Product_3,570.02,13,0.27,152.45,5,0.157
2020-01-13 08:00:00,D,East,Product_2,792.99,21,0.07,91.07,4,0.133
2020-01-13 09:00:00,D,North,Product_4,294.24,45,0.13,20.39,5,0.044
2020-01-13 10:00:00,A,East,Product_2,660.6,37,0.16,306.07,5,0.163
2020-01-13 11:00:00,A,North,Product_2,176.81,23,0.44,186.88,4,0.191
2020-01-13 12:00:00,A,East,Product_3,146.51,7,0.38,-142.31,5,0.037
2020-01-13 13:00:00,B,South,Product_3,578.22,17,0.41,465.5,4,0.182
2020-01-13 14:00:00,A,South,Product_3,586.57,28,0.03,421.26,5,0.171
2020-01-13 15:00:00,C,North,Product_2,673.69,47,0.29,47.43,3,0.196
2020-01-13 16:00:00,B,North,Product_3,753.48,30,0.5,-27.66,3,0.064
2020-01-13 17:00:00,D,East,Product_3,978.27,5,0.39,239.93,2,0.187
2020-01-13 18:00:00,B,South,Product_2,564.67,24,0.06,-169.68,5,0.036
2020-01-13 19:00:00,A,North,Product_1,390.66,7,0.34,147.2,3,0.035
2020-01-13 20:00:00,C,West,Product_2,815.67,34,0.37,270.84,3,0.021
2020-01-13 21:00:00,C,West,Product_1,343.75,42,0.26,84.68,3,0.086
2020-01-13 22:00:00,A,West,Product_1,495.07,33,0.04,480.6,1,0.002
2020-01-13 23:00:00,C,South,Product_1,170.61,27,0.02,303.21,5,0.076
2020-01-14 00:00:00,B,East,Product_3,122.82,14,0.47,453.85,2,0.125
2020-01-14 01:00:00,B,West,Product_3,966.38,19,0.13,435.52,3,0.016
2020-01-14 02:00:00,A,South,Product_4,852.38,48,0.19,-107.81,4,0.164
2020-01-14 03:00:00,C,East,Product_4,726.38,38,0.4,268.04,1,0.059
2020-01-14 04:00:00,D,East,Product_3,468.06,12,0.34,217.68,5,0.009
2020-01-14 05:00:00,B,South,Product_1,255.96,3,0.48,-161.62,2,0.075
2020-01-14 06:00:00,B,South,Product_3,240.79,7,0.05,22.52,3,0.028
2020-01-14 07:00:00,B,North,Product_1,325.22,35,0.35,174.2,4,0.159
2020-01-14 08:00:00,B,South,Product_2,594.3,25,0.04,183.71,1,0.067
2020-01-14 09:00:00,D,East,Product_3,743.14,49,0.0,369.85,4,0.023
2020-01-14 10:00:00,A,East,Product_3,694.18,15,0.06,211.35,4,0.091
2020-01-14 11:00:00,B,North,Product_2,351.94,19,0.31,126.55,1,0.09
2020-01-14 12:00:00,C,South,Product_2,959.38,19,0.34,326.37,4,0.055
2020-01-14 13:00:00,D,North,Product_2,764.11,23,0.22,199.62,3,0.065
2020-01-14 14:00:00,B,East,Product_4,598.92,11,0.02,418.63,1,0.154
2020-01-14 15:00:00,C,West,Product_3,650.55,21,0.32,433.83,5,0.128
